Annee,,,,,,,,,,,,,,,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,,,2 027,2 028,2 029,2 030,,,,
Mois,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,
Trimestre,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,4,4,4,,,,,,,,,,
Semestre,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pourcentage variation Plan N+2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,,Cout Unitaire en USD Hors Taxe / Automatique,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe / Manuel,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,Check Categorie,Check Unite de mesure,Check cout unitaire,ROW
,,x,x2,Ligne de depense,Direction,,,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,45 688,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,46 326,46 356,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,,,,
RJ.1.1.01,RJ.1.1.01 _ JURIDIQUE _ Assurer la veille juridique et réglementaire _ Abonnement à des sources d'information _ Abonnement au Journal Officiel/Annuel,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Abonnement Journal officiel/an,,,0,USD,417,417,,,,,,,,,,,,417,417,421,425,430,434, Ok , Ok , Ok ,  15 
RJ.1.1.02,RJ.1.1.02 _ JURIDIQUE _ Assurer la veille juridique et réglementaire _ Abonnement à des sources d'information _ Abonnement à LexisNexis,Kinshasa_Kinshasa,Siège,A L'ETRANGER,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Abonnement LexisNexis (Site de veil Juridique),,,0,USD,80,80,80,80,80,80,80,80,80,80,80,80,80,960,960,970,979,989,998, Ok , Ok , Ok ,  16 
RJ.1.1.03,RJ.1.1.03 _ JURIDIQUE _ Assurer la veille juridique et réglementaire _ Abonnement à des sources d'information _ Abonnement à LegaNews Pro,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Abonnement LegoPro (site veil lolac),,,0,USD,56,56,56,56,56,56,56,56,56,56,56,56,56,672,672,679,685,692,699, Ok , Ok , Ok ,  17 
RJ.1.2.01,RJ.1.2.01 _ JURIDIQUE _ Assurer la veille juridique et réglementaire _ Achats Livres _ Achats différents livres,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Achats différents livres,,,0,USD,275,275,275,275,275,275,275,275,275,275,275,275,275,3 300,3 300,3 333,3 366,3 399,3 432, Ok , Ok , Ok ,  18 
RJ.2.2.01,RJ.2.2.01 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Billet avion,Haut-Katanga_Lubumbashi,Haut-Katanga,A L'INTERIEUR ,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,JURIDIQUE,Billet FIH-FBM-KWZ-FBM-FIH,,,0,Unite,700,,4,,,,,,,,,,,4,2 800,2 828,2 856,2 884,2 912, Ok , Ok , Ok ,  19 
RJ.2.2.01,RJ.2.2.01 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Billet avion,Tshopo_Kisangani,Oriental,A L'INTERIEUR ,Directeur,62510003_ Billet d'avion_Afrique,62510003,JURIDIQUE,Billet FIH-FKIS-BUX-FKIS-FIH,,,0,USD,2 400,,,2 400,,,,,,,,,,2 400,2 400,2 424,2 448,2 472,2 496, Ok , Ok , Ok ,  20 
RJ.2.2.01,RJ.2.2.01 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Billet avion,Kasaï-Central_Kananga,Grand Kasaï,A L'INTERIEUR ,Chef de Division,62510003_ Billet d'avion_Afrique,62510003,JURIDIQUE,Billet FIH-KGA-FIH,,,0,Unite,700,,,,,,2,,,,,,,2,1 400,1 414,1 428,1 442,1 456, Ok , Ok , Ok ,  21 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Haut-Katanga_Lubumbashi,Haut-Katanga,A L'INTERIEUR ,Chef de Division,64710015_ Per diem,64710015,JURIDIQUE,Perdiem 10 jours ( Lushi et Kolwezi),,,0,USD,4 500,,4 500,,,,,,,,,,,4 500,4 500,4 545,4 590,4 635,4 680, Ok , Ok , Ok ,  22 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Tshopo_Kisangani,Oriental,A L'INTERIEUR ,Directeur,64710015_ Per diem,64710015,JURIDIQUE,"Perdiem 10 jours (Tshopo, Ituri)",,,0,USD,6 500,,,6 500,,,,,,,,,,6 500,6 500,6 565,6 630,6 695,6 760, Ok , Ok , Ok ,  23 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Kwilu_Bandundu-ville,Grand Bandundu,A L'INTERIEUR ,Chef de Division,64710015_ Per diem,64710015,JURIDIQUE,Perdiem 5 jours CD ,,,0,USD,2 250,,,,2 250,,,,,,,,,2 250,2 250,2 273,2 295,2 318,2 340, Ok , Ok , Ok ,  24 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Kwilu_Bandundu-ville,Grand Bandundu,A L'INTERIEUR ,Agent d'exécution,64710015_ Per diem,64710015,JURIDIQUE,Perdiem 5 jours Chauffeur,,,0,USD,1 500,,,,1 500,,,,,,,,,1 500,1 500,1 515,1 530,1 545,1 560, Ok , Ok , Ok ,  25 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Kongo-Central_Matadi,Kongo Central,A L'INTERIEUR ,Chef de Division,64710015_ Per diem,64710015,JURIDIQUE,Perdiem 5 jours CD ,,,0,USD,2 250,,,,,2 250,,,,,,,,2 250,2 250,2 273,2 295,2 318,2 340, Ok , Ok , Ok ,  26 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Kongo-Central_Matadi,Kongo Central,A L'INTERIEUR ,Agent d'exécution,64710015_ Per diem,64710015,JURIDIQUE,Perdiem 5 jours Chauffeur,,,0,USD,1 500,,,,,1 500,,,,,,,,1 500,1 500,1 515,1 530,1 545,1 560, Ok , Ok , Ok ,  27 
RJ.2.2.02,RJ.2.2.02 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Perdiem,Kasaï-Central_Kananga,Grand Kasaï,A L'INTERIEUR ,Chef de Division,64710015_ Per diem,64710015,JURIDIQUE,Perdiem 5 jours CD ,,,0,USD,2 250,,,,,,2 250,,,,,,,2 250,2 250,2 273,2 295,2 318,2 340, Ok , Ok , Ok ,  28 
RJ.2.2.03,RJ.2.2.03 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Transport,Tshopo_Kisangani,Oriental,A L'INTERIEUR ,Directeur,62520048_ Frais de Transport,62520048,JURIDIQUE,Transport (Tshopo et bunia),,,0,USD,2 500,,,2 500,,,,,,,,,,2 500,2 500,2 525,2 550,2 575,2 600, Ok , Ok , Ok ,  29 
RJ.2.2.04,RJ.2.2.04 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Go pass,Haut-Katanga_Lubumbashi,Haut-Katanga,A L'INTERIEUR ,N/A,62510008_ GO Pass,62510008,JURIDIQUE,Go Pass ,,,0,USD,60,,60,,,,,,,,,,,60,60,61,61,62,62, Ok , Ok , Ok ,  30 
RJ.2.2.04,RJ.2.2.04 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Go pass,Tshopo_Kisangani,Oriental,A L'INTERIEUR ,N/A,62510008_ GO Pass,62510008,JURIDIQUE,Go Pass ,,,0,USD,60,,,60,,,,,,,,,,60,60,61,61,62,62, Ok , Ok , Ok ,  31 
RJ.2.2.04,RJ.2.2.04 _ JURIDIQUE _ Gestion des contrats _ Mission de service _ Go pass,Kasaï-Central_Kananga,Grand Kasaï,A L'INTERIEUR ,N/A,62510008_ GO Pass,62510008,JURIDIQUE,Go Pass ,,,0,USD,30,,,,,,30,,,,,,,30,30,30,31,31,31, Ok , Ok , Ok ,  32 
RJ.4.1.01,RJ.4.1.01 _ JURIDIQUE _ Gérer les services juridiques externes _ Gestion des cabinets d'avocat _ Paiement Abonnement,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Abonnement deux cabinets/an,,,0,USD,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,120 000,120 000,121 200,122 400,123 600,124 800, Ok , Ok , Ok ,  33 
RJ.4.2.01,RJ.4.2.01 _ JURIDIQUE _ Gérer les services juridiques externes _ Honoraires complémentaires _ Paiement Vacations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Divers Vacations,,,0,USD,450,450,450,450,450,450,450,450,450,450,450,450,450,5 400,5 400,5 454,5 508,5 562,5 616, Ok , Ok , Ok ,  34 
RJ.4.2.02,RJ.4.2.02 _ JURIDIQUE _ Gérer les services juridiques externes _ Honoraires complémentaires _ Paiement Debours,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Divers debours,,,0,USD,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,2 500,30 000,30 000,30 300,30 600,30 900,31 200, Ok , Ok , Ok ,  35 
RJ.4.2.03,RJ.4.2.03 _ JURIDIQUE _ Gérer les services juridiques externes _ Honoraires complémentaires _ Paiement Différents frais de prestations,Kinshasa_Kinshasa,Siège,A L'INTERIEUR ,N/A,62520005_ Frais judiciaire,62520005,JURIDIQUE,Prestations juridique additionnel,,,0,USD,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,15 000,180 000,180 000,181 800,183 600,185 400,187 200, Ok , Ok , Ok ,  36 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  37 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  38 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  39 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  40 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  41 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  42 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  43 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  44 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  45 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  46 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  47 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  48 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  49 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  50 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  51 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  52 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  53 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  54 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  55 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  56 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  57 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  58 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  59 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  60 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  61 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  62 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  63 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  64 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  65 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  66 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  67 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  68 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  69 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  70 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  71 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  72 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  73 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  74 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  75 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  76 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  77 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  78 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  79 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  80 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  81 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  82 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  83 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  84 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  85 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  86 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  87 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  88 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  89 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  90 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  91 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  92 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  93 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  94 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  95 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  96 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  97 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  98 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  99 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  100 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  101 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  102 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  103 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  104 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  105 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  106 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  107 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  108 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  109 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  110 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  111 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  112 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  113 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  114 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  115 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  116 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  117 
,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,0,0,0,0, Ok , Ok , Ok ,  118 
